amount,grade,years,ownership,income,age
8000,A,16,MORTGAGE,86004,32
10625,A,21,MORTGAGE,73000,26
2100,B,6,OWN,113400,27
10000,B,9,OWN,300000,26
20000,C,1,MORTGAGE,90000,31
7000,A,2,RENT,50000,22
10800,D,6,RENT,48000,29
10000,A,4,RENT,39948,22
2700,B,,RENT,40800,29
15000,C,5,RENT,65000,24
10000,A,5,RENT,55000,24
25200,D,,MORTGAGE,96260,23
16000,B,11,RENT,120000,29
9500,A,4,RENT,61000,25
7500,D,6,RENT,129996,39
6000,C,2,RENT,52000,25
6500,A,1,RENT,31400,47
5000,D,4,MORTGAGE,91000,24
12000,B,4,RENT,30412.8,34
7000,C,1,MORTGAGE,25200,22
5400,A,0,RENT,63533,29
5000,B,4,RENT,21600,30
3600,C,4,RENT,69000,30
2400,B,30,MORTGAGE,31000,30
6500,C,0,MORTGAGE,25200,21
15000,E,2,MORTGAGE,105000,22
11500,A,2,MORTGAGE,56000,33
18000,C,8,RENT,73000,33
9000,D,9,RENT,40000,30
10000,C,9,MORTGAGE,140004,22
15000,D,3,RENT,52000,23
3500,B,0,RENT,30000,32
1500,E,0,RENT,17000,21
6650,B,6,RENT,72321,22
6600,B,9,RENT,101877,25
7500,D,1,RENT,50000,33
3250,A,11,MORTGAGE,36000,24
25000,B,1,RENT,81600,23
6500,B,0,RENT,62467,21
14400,C,22,MORTGAGE,117600,29
5000,C,11,RENT,56000,24
5000,B,5,RENT,48000,32
6000,A,3,MORTGAGE,58000,24
6000,B,3,MORTGAGE,120000,30
3000,A,7,RENT,75000,28
7000,C,6,MORTGAGE,58000,40
12000,B,15,RENT,62000,26
10000,A,3,MORTGAGE,51000,26
18000,C,2,RENT,55000,25
13025,B,1,MORTGAGE,40000,22
4000,B,1,RENT,51000,38
5000,A,37,OWN,30000,30
10000,A,6,RENT,66000,27
3000,D,,RENT,39600,27
5000,B,2,RENT,25000,30
15000,D,3,OWN,85000,23
5000,B,14,RENT,43000,28
9000,C,5,OWN,60000,60
2200,C,11,OWN,48000,24
35000,A,6,MORTGAGE,95000,29
15000,A,3,RENT,80000,21
6400,B,8,MORTGAGE,90000,22
7200,A,7,RENT,30000,22
8000,A,0,RENT,70000,22
25000,E,14,RENT,118000,32
12000,A,13,MORTGAGE,125000,54
7000,B,2,OWN,20800,35
7200,C,29,RENT,31944,24
11000,A,4,MORTGAGE,80000,26
20000,B,5,MORTGAGE,82000,22
10000,D,1,RENT,45000,24
24000,G,6,RENT,115872,26
15000,C,3,MORTGAGE,104000,26
8000,A,1,MORTGAGE,36000,21
6000,B,5,RENT,51000,28
20000,F,16,MORTGAGE,82000,29
7500,B,12,RENT,36000,26
6000,B,4,MORTGAGE,200000,30
10000,A,3,MORTGAGE,82000,27
5000,C,2,MORTGAGE,50000,44
6600,B,0,RENT,60000,22
3500,D,4,RENT,48000,28
5000,A,8,MORTGAGE,80476.97,22
2800,B,0,RENT,48956,46
10000,B,17,RENT,98000,25
7500,D,34,MORTGAGE,55000,58
14000,D,9,RENT,73000,35
9000,A,0,MORTGAGE,74000,29
1200,A,4,MORTGAGE,48000,24
2400,C,,MORTGAGE,16656,31
12000,A,11,MORTGAGE,110000,37
4500,C,2,RENT,47000,21
4000,B,2,RENT,150000,27
7000,C,1,MORTGAGE,47200,21
10000,B,,RENT,36000,32
17000,C,1,MORTGAGE,75000,22
35000,B,11,MORTGAGE,107000,27
12600,B,4,OWN,50000,23
5000,C,2,RENT,50000,36
11500,A,24,MORTGAGE,175000,27
13000,A,6,MORTGAGE,140000,33
10000,B,4,RENT,38004,35
6500,A,4,RENT,33000,22
20000,C,4,MORTGAGE,135000,25
10000,A,2,MORTGAGE,96000,29
4000,C,4,OWN,15000,23
6000,A,2,MORTGAGE,35000,22
19000,A,13,RENT,54000,22
10000,A,2,MORTGAGE,42000,24
4000,C,17,OWN,107000,46
5200,A,1,RENT,38000,23
1800,B,5,RENT,80000,33
21000,D,1,RENT,112511.52,28
2400,C,3,RENT,16800,24
9000,C,16,RENT,62000,29
5800,A,5,MORTGAGE,75000,25
6400,D,11,RENT,51000,37
3000,C,0,RENT,64992,22
2000,B,11,RENT,48000,31
2600,A,0,MORTGAGE,50000,25
9100,D,8,RENT,38400,26
7500,B,2,MORTGAGE,85000,24
6000,B,7,OWN,26000,34
3000,B,2,RENT,48000,21
5500,A,5,RENT,50000,39
6125,C,4,RENT,40000,27
4500,C,8,RENT,45000,28
6150,B,17,MORTGAGE,72000,27
7200,A,3,MORTGAGE,60000,29
9000,B,10,RENT,120000,40
5000,A,2,RENT,42500,32
20000,D,24,MORTGAGE,85000,33
8000,C,4,RENT,47000,27
15600,B,8,MORTGAGE,75000,31
2100,B,7,MORTGAGE,80000,23
16800,A,3,MORTGAGE,43200,21
6000,B,2,RENT,43000,35
1600,C,9,MORTGAGE,72000,37
4000,C,2,RENT,16800,22
6000,C,1,MORTGAGE,54000,27
20000,B,,MORTGAGE,69600,23
3500,C,2,RENT,24000,28
20000,B,13,MORTGAGE,60600,28
18000,B,4,MORTGAGE,550000,40
4800,C,5,RENT,39996,26
4500,A,53,MORTGAGE,48000,30
5000,C,4,RENT,40000,22
6500,A,24,MORTGAGE,123996,27
8000,B,2,MORTGAGE,40000,28
8000,B,12,MORTGAGE,100000,25
4000,A,16,MORTGAGE,57600,23
3500,A,0,MORTGAGE,58000,24
15000,D,5,OWN,80000,35
10000,A,5,RENT,60000,33
6400,B,0,RENT,55000,25
11200,A,10,OWN,45000,47
7000,B,6,RENT,13000,31
18000,C,8,RENT,65000,25
8000,E,3,RENT,80000,22
20000,D,10,MORTGAGE,190000,33
10000,A,4,RENT,78000,21
12000,A,9,MORTGAGE,125004,28
10000,E,13,RENT,55000,22
4000,B,2,RENT,21000,21
3200,C,3,RENT,24000,21
17300,D,8,MORTGAGE,56400,22
10000,B,2,MORTGAGE,68000,23
7000,A,23,RENT,58000,27
6500,C,11,MORTGAGE,174996,37
24000,F,1,RENT,160000,26
2500,B,2,MORTGAGE,80000,24
7800,B,3,RENT,43000,44
15000,B,0,RENT,100000,27
25000,F,4,MORTGAGE,61365,23
4800,B,0,RENT,65004,29
6625,C,2,RENT,28000,21
10000,A,2,MORTGAGE,45912,28
17500,C,5,MORTGAGE,64700,26
1500,C,1,MORTGAGE,90000,23
10000,B,18,MORTGAGE,120000,25
10000,D,3,RENT,65000,23
6000,B,5,MORTGAGE,49580,30
4000,C,7,MORTGAGE,80000,23
20000,B,1,MORTGAGE,48100,27
5000,B,12,MORTGAGE,58000,23
15000,B,17,MORTGAGE,88268,23
25000,C,0,RENT,106000,37
2500,A,2,RENT,36000,22
3000,B,8,RENT,50000,26
12000,C,7,MORTGAGE,25568,25
5600,B,3,RENT,50000,23
5000,A,13,MORTGAGE,24000,26
7200,B,2,MORTGAGE,53000,31
18200,B,14,RENT,42000,22
6100,C,,MORTGAGE,23748,30
9000,B,2,RENT,35000,23
18000,C,11,MORTGAGE,95000,27
8400,B,4,RENT,87000,28
5000,A,12,RENT,69996,27
33000,E,0,MORTGAGE,115000,32
14500,C,0,RENT,45000,25
25000,B,5,MORTGAGE,49600,23
18000,A,17,MORTGAGE,75000,22
15000,A,6,MORTGAGE,91224,27
20000,C,4,MORTGAGE,120602.4,34
15000,A,15,MORTGAGE,87600,34
4500,B,2,RENT,39000,24
10000,A,10,MORTGAGE,45992,23
5000,B,0,RENT,75000,31
2000,B,4,RENT,32496,41
20000,B,10,MORTGAGE,81600,25
7125,B,,MORTGAGE,36648,21
5000,C,3,MORTGAGE,64000,28
8000,B,0,MORTGAGE,90000,33
8000,A,15,RENT,80000,25
10000,A,2,RENT,37200,22
6600,C,2,RENT,30000,24
2500,A,8,RENT,40000,30
8400,C,3,RENT,48000,39
4375,B,0,RENT,14400,24
5000,A,7,MORTGAGE,110000,23
2000,B,5,MORTGAGE,50000,27
2500,C,2,RENT,40000,22
16000,B,2,RENT,96000,24
6200,A,5,MORTGAGE,26500,44
7000,C,7,RENT,35000,29
7000,C,11,RENT,112200,28
5000,B,2,RENT,43900,22
13125,A,5,MORTGAGE,106358,28
16000,B,5,MORTGAGE,41004,26
2000,B,2,RENT,30000,25
4000,A,5,RENT,78000,33
15000,B,8,MORTGAGE,52000,24
7000,C,6,MORTGAGE,36000,27
14125,A,,OWN,27800,25
5000,A,3,MORTGAGE,89000,37
6000,A,0,OWN,30000,34
6000,D,2,MORTGAGE,34000,24
8000,A,2,MORTGAGE,64000,34
12000,B,2,RENT,35000,22
8000,A,0,RENT,45000,32
10000,C,7,MORTGAGE,38400,24
7750,E,2,OWN,13920,23
10000,A,9,MORTGAGE,50000,26
3500,D,20,MORTGAGE,96000,25
5000,A,2,MORTGAGE,80000,25
6500,D,7,MORTGAGE,130000,26
20000,E,6,RENT,135000,34
12000,B,1,RENT,95004,31
10000,B,2,OWN,50004,24
8000,A,16,MORTGAGE,86004,32
15075,C,14,RENT,35000,31
1750,C,3,OWN,11440,30
1500,A,2,RENT,32004,35
6000,B,1,RENT,75000,23
15000,B,2,MORTGAGE,110004,28
10000,D,0,RENT,60000,29
8000,B,10,MORTGAGE,49590,24
6250,A,3,MORTGAGE,63177,36
2400,A,6,MORTGAGE,55000,28
10800,B,4,RENT,82600,27
7500,A,1,MORTGAGE,60000,51
6000,D,6,RENT,77200,39
4000,C,11,RENT,39996,29
9900,D,3,RENT,61200,36
9600,A,7,MORTGAGE,44460,34
24000,A,9,MORTGAGE,130104,23
11000,C,0,OWN,20400,31
8875,B,6,MORTGAGE,40000,27
16500,E,9,OWN,96000,26
5000,B,6,RENT,304800,53
4000,C,,MORTGAGE,62400,31
6700,B,3,RENT,25700,33
5000,C,9,MORTGAGE,33685,22
12000,A,9,RENT,92341,24
7500,B,7,RENT,96000,27
20000,B,1,MORTGAGE,125000,25
18000,C,31,RENT,36720,21
10300,B,3,RENT,45000,21
2350,C,0,OWN,36000,28
4000,A,15,MORTGAGE,55000,23
25000,C,12,OWN,93000,23
3300,A,2,RENT,28956,22
8000,A,7,RENT,48000,41
6000,A,4,RENT,18200,22
4000,B,0,MORTGAGE,60000,22
10000,C,2,MORTGAGE,80496,29
4000,C,0,RENT,45000,21
12000,D,6,RENT,62496,35
14000,A,21,RENT,128165,22
12000,D,2,OTHER,95000,44
4000,B,1,MORTGAGE,25000,24
12000,C,8,RENT,57780,25
12600,C,2,MORTGAGE,62400,22
15250,B,2,MORTGAGE,52000,24
6575,A,0,MORTGAGE,100000,27
2600,B,1,RENT,28000,31
5000,C,0,RENT,50000,28
19750,D,5,MORTGAGE,55000,28
20000,B,4,RENT,72000,27
5000,C,1,RENT,42000,22
10000,B,0,OWN,70000,34
4000,A,0,MORTGAGE,95000,25
14400,C,2,RENT,42996,22
2500,E,1,RENT,38000,25
3250,A,0,RENT,35000,22
6900,A,0,OWN,40000,24
10000,D,5,RENT,72000,30
3800,C,14,RENT,60000,36
15000,A,4,RENT,60000,24
12000,B,20,MORTGAGE,87000,27
8400,A,5,MORTGAGE,117014,25
7000,C,,RENT,42000,26
10000,C,3,MORTGAGE,65000,31
8000,B,5,RENT,64000,23
5000,A,6,MORTGAGE,140000,30
5500,B,5,MORTGAGE,40000,26
7000,A,9,RENT,32340,22
20000,F,8,MORTGAGE,170000,28
8300,A,0,RENT,30000,25
7000,E,0,RENT,40000,24
6500,B,7,MORTGAGE,48000,22
14000,A,31,RENT,66000,26
14000,A,6,MORTGAGE,60000,24
20000,A,12,RENT,160000,22
3250,A,0,RENT,8000,23
4750,D,2,RENT,14000,22
10000,C,13,MORTGAGE,49600,25
12750,D,3,RENT,58000,22
6000,B,20,MORTGAGE,77000,31
2600,D,,RENT,15000,29
8000,D,6,MORTGAGE,46680,37
25000,F,3,MORTGAGE,75000,24
12000,A,4,RENT,86000,27
13000,B,2,RENT,45000,55
4200,A,8,MORTGAGE,75000,29
3000,D,5,RENT,60000,34
3000,C,2,RENT,55000,37
10000,B,6,RENT,26000,24
14000,A,48,MORTGAGE,58000,29
20000,D,2,MORTGAGE,115000,41
10000,C,13,MORTGAGE,80000,34
4000,C,20,OWN,35000,25
14500,B,14,MORTGAGE,64656,24
12000,A,11,MORTGAGE,110000,37
5000,C,0,RENT,24000,23
4400,C,14,RENT,95459,26
10000,B,4,OWN,100000,52
1500,B,5,RENT,40000,21
13000,B,0,RENT,50000,22
1200,A,6,MORTGAGE,38304,27
15250,E,5,RENT,28080,22
6000,A,33,MORTGAGE,42000,24
24000,B,1,RENT,120000,24
23975,B,18,RENT,49896,24
6000,C,1,RENT,36000,22
10000,D,3,RENT,80000,29
12000,A,10,MORTGAGE,95000,22
6400,B,5,RENT,30500,25
15000,B,18,MORTGAGE,110000,32
12000,A,4,MORTGAGE,35400,26
2200,A,8,RENT,17004,29
11525,C,0,RENT,30000,43
24000,A,3,MORTGAGE,200000,24
2800,C,6,MORTGAGE,100843,35
30000,D,4,MORTGAGE,68000,27
12000,C,8,MORTGAGE,81000,29
5000,C,8,MORTGAGE,138996,25
2200,B,6,MORTGAGE,18000,30
20000,B,3,RENT,85000,26
14000,B,0,OTHER,58000,29
5000,E,3,RENT,70000,26
4000,D,21,RENT,105000,27
8000,D,13,MORTGAGE,60000,26
6000,A,8,RENT,38000,25
4000,B,3,MORTGAGE,75000,27
1500,C,1,RENT,9600,30
4000,D,27,RENT,45000,23
10000,F,4,RENT,45600,30
20000,C,16,RENT,85000,33
5000,A,8,MORTGAGE,101000,33
9000,C,0,RENT,26000,22
8000,D,3,OWN,52000,38
15000,C,21,RENT,48000,24
5000,B,8,RENT,72000,28
13600,B,26,RENT,73000,25
21000,D,6,MORTGAGE,85000,29
5000,C,8,RENT,48000,32
10000,B,3,MORTGAGE,170004,25
8000,B,1,OWN,24996,23
1000,B,17,OWN,45600,23
10000,D,3,RENT,45000,22
5000,D,8,MORTGAGE,60000,26
11000,C,,OWN,34000,38
7000,A,3,MORTGAGE,113000,24
5000,C,3,RENT,35028,37
5500,A,0,RENT,30000,36
3000,D,6,RENT,63000,23
7000,C,7,MORTGAGE,81996,22
5100,C,4,MORTGAGE,70000,31
5000,B,7,MORTGAGE,86700,27
7000,B,2,MORTGAGE,23500,24
7000,A,5,MORTGAGE,74400,50
8575,E,0,RENT,27840,29
25000,E,3,RENT,60000,25
1000,C,20,RENT,30035,25
6250,C,1,OWN,29000,28
17500,A,3,MORTGAGE,152000,26
25000,D,5,RENT,120000,24
8000,C,1,RENT,35000,22
4000,F,3,RENT,20800,37
25000,B,11,OWN,80004,24
13200,C,1,MORTGAGE,95000,31
15000,C,1,RENT,24000,22
6000,C,1,RENT,41600,33
1800,C,18,RENT,53544,28
15000,D,11,MORTGAGE,108000,33
4800,B,1,MORTGAGE,57600,23
10000,C,3,RENT,38000,25
16000,C,14,MORTGAGE,53000,23
5125,A,5,RENT,60000,21
21125,C,1,MORTGAGE,176608,28
9600,C,19,MORTGAGE,61200,24
6000,C,10,RENT,31500,27
4500,A,0,OWN,26880,36
15000,B,4,RENT,150000,53
7000,A,5,RENT,92000,29
4800,C,8,MORTGAGE,46525,30
27050,D,5,RENT,73200,26
4500,C,8,OTHER,140004,25
10625,B,0,RENT,30000,26
10000,E,12,RENT,100000,25
15000,B,6,MORTGAGE,102000,23
5000,B,4,RENT,46500,22
14000,A,3,MORTGAGE,83000,21
5000,A,1,MORTGAGE,225000,28
1500,C,2,RENT,38000,22
16000,D,4,MORTGAGE,50000,22
7000,A,4,MORTGAGE,100000,28
15000,F,2,MORTGAGE,78000,29
30000,A,5,OWN,125000,31
16000,C,3,RENT,45000,27
10000,B,13,RENT,96500,29
2600,A,3,RENT,100000,25
2500,A,7,MORTGAGE,33360,24
15000,C,11,RENT,60000,23
18000,A,4,RENT,50000,24
15000,D,3,RENT,61584,27
25000,B,12,MORTGAGE,125000,29
20000,B,5,MORTGAGE,94000,25
6000,B,0,RENT,30000,48
6000,D,5,RENT,171000,28
23000,D,6,MORTGAGE,155142,26
15000,A,5,RENT,48000,23
11625,B,4,MORTGAGE,96000,26
8000,B,5,OWN,24000,22
10000,B,10,RENT,75000,24
16000,C,4,RENT,60000,42
13750,C,2,MORTGAGE,46996,37
2000,A,3,MORTGAGE,132000,26
16000,C,2,MORTGAGE,45000,24
3200,C,0,RENT,23040,25
10000,A,0,RENT,85000,22
5600,A,1,RENT,19800,24
12000,C,11,MORTGAGE,61000,22
4000,A,5,MORTGAGE,44000,25
6000,A,21,MORTGAGE,90000,25
12000,C,3,RENT,60000,25
6600,B,0,RENT,26240,37
4800,A,7,MORTGAGE,102000,30
18000,C,5,MORTGAGE,72000,23
11600,B,0,RENT,71000,26
5000,C,4,RENT,33000,27
2400,A,3,MORTGAGE,38769.12,34
4500,B,0,RENT,24000,22
6200,G,16,MORTGAGE,62900,36
14000,B,6,OWN,45760,27
12000,A,11,RENT,49268.48,32
9000,B,5,RENT,42597,33
8400,C,0,RENT,50000,42
10000,B,1,OWN,60000,29
14000,C,12,RENT,122000,23
20000,B,3,MORTGAGE,80400,28
3000,B,4,RENT,28000,24
15000,C,7,MORTGAGE,38400,24
2500,A,0,RENT,22000,23
5000,A,20,OWN,66000,22
2400,B,8,RENT,43080,22
2375,B,3,RENT,60000,32
20000,B,9,MORTGAGE,107496,26
10000,A,20,RENT,30000,25
15000,D,7,RENT,100896,24
15000,B,0,MORTGAGE,88000,22
5575,A,5,RENT,28800,25
15850,B,15,OTHER,78411,30
1500,C,0,RENT,30000,27
15000,E,0,MORTGAGE,89000,27
1000,D,0,RENT,36000,70
8000,C,1,RENT,50000,27
8875,A,2,RENT,23000,23
7000,C,17,RENT,72000,23
12650,A,6,RENT,60000,27
7000,D,5,MORTGAGE,57000,26
6000,D,3,RENT,39000,24
13000,C,1,OWN,39689,23
5000,A,16,MORTGAGE,70000,24
4000,B,10,RENT,48000,24
5000,A,1,MORTGAGE,115000,27
8025,C,11,MORTGAGE,55000,28
20000,B,2,RENT,51000,37
1500,B,11,MORTGAGE,58000,36
7000,C,3,RENT,33198,24
8475,C,13,MORTGAGE,122708,24
14400,C,4,RENT,70000,24
10000,A,12,MORTGAGE,80000,23
9000,B,5,MORTGAGE,35000,22
5000,D,0,RENT,50000,38
7500,C,31,RENT,38400,22
15000,B,5,RENT,50000,22
6000,B,2,RENT,30000,22
10000,A,11,RENT,60000,37
7700,C,6,MORTGAGE,100000,26
10000,C,3,MORTGAGE,34000,31
12000,D,1,RENT,57840,23
13800,C,4,RENT,33036,33
4000,D,2,RENT,53000,27
6000,B,4,RENT,50650,22
24500,D,2,MORTGAGE,120000,29
10000,B,0,MORTGAGE,275000,26
12000,D,11,MORTGAGE,300000,26
25000,D,9,MORTGAGE,175000,52
4200,D,8,MORTGAGE,38496,26
9800,A,9,MORTGAGE,50000,25
24250,B,15,MORTGAGE,77052,20
6000,B,0,RENT,25200,25
4800,B,5,RENT,50000,25
25000,C,2,RENT,49861,28
1000,B,0,MORTGAGE,25200,22
20000,E,9,OWN,127000,25
12000,A,5,RENT,65000,24
15000,C,1,RENT,67000,29
13000,D,3,RENT,120000,26
16000,B,15,MORTGAGE,70000,23
4500,C,3,RENT,50000,30
9000,C,0,MORTGAGE,39000,26
7000,A,5,RENT,42000,33
27050,C,4,RENT,60000,66
12000,B,8,MORTGAGE,105000,28
15000,A,5,RENT,100000,26
2500,C,14,RENT,48000,47
7000,D,4,RENT,230000,35
1600,A,0,RENT,35000,23
2000,C,1,MORTGAGE,27600,24
11800,C,5,RENT,76000,26
2800,C,4,MORTGAGE,25000,21
12875,A,4,MORTGAGE,57000,22
10000,D,4,RENT,30000,24
6500,B,1,MORTGAGE,110000,25
20000,B,5,RENT,98652,28
1500,A,2,RENT,18700,26
35000,A,0,MORTGAGE,144000,35
17500,E,3,RENT,44000,28
21600,B,15,MORTGAGE,116000,32
5000,A,,RENT,32400,29
9000,C,2,OWN,33300,23
6375,A,4,RENT,44000,25
16800,A,4,RENT,97000,26
4200,A,11,RENT,93000,27
6625,B,3,RENT,24947.3,33
10000,A,6,MORTGAGE,50000,26
9000,A,0,MORTGAGE,130000,28
6000,C,2,MORTGAGE,80000,30
4800,A,0,RENT,80000,49
6000,A,12,MORTGAGE,45000,31
15000,C,9,MORTGAGE,141000,43
3500,C,4,RENT,80000,31
15000,B,3,RENT,67704,29
24000,B,16,MORTGAGE,320000,36
3000,B,8,RENT,32796,30
2400,E,20,MORTGAGE,150000,34
7000,A,4,MORTGAGE,37500,26
8000,B,2,RENT,30000,23
5000,B,2,RENT,20000,21
10000,C,1,RENT,37000,29
15000,E,5,MORTGAGE,210000,30
1800,B,,MORTGAGE,68400,23
6500,A,3,MORTGAGE,44400,23
6000,C,31,RENT,72000,26
12000,B,3,RENT,100000,41
2000,A,,MORTGAGE,26784,21
10800,C,4,RENT,46000,30
6000,A,12,MORTGAGE,128000,23
6000,B,4,MORTGAGE,26400,41
4400,B,12,RENT,49000,23
3250,A,,OWN,71000,25
9000,D,11,RENT,95000,24
15000,B,19,RENT,62400,24
2500,E,2,RENT,14400,22
8725,A,11,MORTGAGE,52000,27
3300,A,14,MORTGAGE,35004,48
5000,A,11,MORTGAGE,148350,40
4500,B,2,RENT,37000,28
16000,C,34,MORTGAGE,122000,23
6000,C,19,MORTGAGE,39168,25
8000,D,5,RENT,75000,24
9000,B,5,RENT,51000,31
5000,B,4,RENT,34800,41
5100,B,14,MORTGAGE,58800,22
8000,D,3,RENT,54000,66
4000,B,6,RENT,30000,27
18000,B,15,MORTGAGE,90000,25
4000,A,14,MORTGAGE,120996,37
15000,A,9,MORTGAGE,75000,28
15000,B,18,MORTGAGE,69000,29
6000,B,3,MORTGAGE,106000,31
14000,B,20,RENT,62000,23
7600,A,13,MORTGAGE,100000,27
7000,A,2,RENT,35000,25
8000,C,4,RENT,45000,25
18000,B,6,OWN,51000,42
12000,A,0,RENT,123000,25
10000,A,20,MORTGAGE,88000,26
23000,B,14,MORTGAGE,89000,32
6700,A,,RENT,21600,21
4500,D,12,MORTGAGE,21216,21
30000,D,4,MORTGAGE,75000,28
7500,C,7,RENT,50000,25
5600,B,0,RENT,30000,38
14400,B,0,MORTGAGE,139992,26
5600,A,31,MORTGAGE,35375,23
5200,C,0,RENT,35000,23
15000,B,5,RENT,42000,29
12000,A,3,MORTGAGE,87278,24
10000,B,2,MORTGAGE,86004,43
7125,A,0,MORTGAGE,30000,21
20000,A,6,MORTGAGE,100000,24
4000,C,10,MORTGAGE,50400,27
12000,D,1,RENT,55000,25
6000,B,4,RENT,39684,44
5000,B,11,RENT,100000,27
7500,D,2,MORTGAGE,71688,21
13000,B,2,MORTGAGE,69867,22
13650,B,16,MORTGAGE,86000,32
4900,D,7,MORTGAGE,65000,22
4000,C,18,MORTGAGE,67464,21
25000,F,8,MORTGAGE,100000,22
1600,A,2,RENT,31000,22
10000,B,1,RENT,72500,26
11600,B,0,RENT,71000,26
8500,A,2,MORTGAGE,50600,31
7925,B,2,MORTGAGE,110000,29
5000,A,9,MORTGAGE,55000,29
6000,B,3,MORTGAGE,61500,27
10000,B,13,MORTGAGE,150000,30
6000,D,3,RENT,72000,50
10000,A,16,MORTGAGE,79992,25
4200,B,4,RENT,43200,27
9875,A,12,OWN,84000,39
6000,B,,MORTGAGE,85000,26
12000,D,2,RENT,30000,22
2000,C,3,MORTGAGE,27385,32
2500,D,11,RENT,70000,22
11000,D,,OWN,38400,31
5000,C,2,MORTGAGE,68000,29
20400,E,2,OWN,57000,28
8000,B,0,RENT,26400,27
18000,B,11,RENT,102000,31
15000,C,1,RENT,83500,29
15000,C,2,RENT,36000,22
14000,C,2,OWN,48000,27
18000,A,11,OWN,59928,23
21000,B,12,RENT,53580,33
5000,C,4,RENT,33000,27
12950,B,0,MORTGAGE,92000,23
15000,B,0,MORTGAGE,100000,24
25000,B,12,RENT,82000,24
7500,F,5,MORTGAGE,79577,40
12000,D,8,MORTGAGE,133000,34
6000,A,11,MORTGAGE,54000,23
1300,A,16,RENT,50000,26
15000,C,0,OWN,149616,27
3100,B,3,RENT,30892.8,31
6475,A,4,RENT,92000,23
12000,D,3,OTHER,65000,22
2000,E,0,RENT,24000,24
12000,A,11,MORTGAGE,60000,23
3500,C,7,MORTGAGE,38500,39
9600,F,2,RENT,60000,23
15000,D,19,MORTGAGE,52320,22
20000,B,5,RENT,56000,27
12000,D,0,MORTGAGE,60000,27
8000,C,3,MORTGAGE,73000,24
10000,B,1,RENT,64000,32
5900,A,3,MORTGAGE,78644,22
8700,A,3,OWN,65000,25
3200,C,11,RENT,65000,24
12000,B,5,OWN,33009,21
18800,B,5,RENT,60000,32
2000,A,30,RENT,56000,31
25000,B,0,RENT,145000,36
15000,C,6,MORTGAGE,48000,29
8000,A,3,RENT,27000,24
4000,A,21,MORTGAGE,43200,23
10500,B,1,RENT,62100,34
2000,C,6,MORTGAGE,68000,27
4750,D,2,OWN,25920,40
21600,B,17,OWN,138000,25
15000,C,6,OWN,36960,28
3000,A,2,MORTGAGE,45000,39
10000,A,2,RENT,33280,23
15000,B,4,RENT,40000,26
35000,A,11,MORTGAGE,118400,29
7000,B,15,RENT,90000,35
3000,C,5,RENT,18000,24
20000,C,3,RENT,65000,26
14000,C,3,RENT,55000,23
12000,C,0,RENT,53000,28
24000,F,3,RENT,350000,29
10000,A,9,MORTGAGE,135000,31
8000,D,6,RENT,40000,29
14000,C,11,MORTGAGE,78000,24
4800,C,,RENT,27000,21
10000,A,13,MORTGAGE,90000,26
3000,C,3,RENT,100000,26
6800,B,0,RENT,77500,24
2100,B,9,MORTGAGE,68000,33
7000,A,4,MORTGAGE,85000,22
11100,B,2,RENT,32244,22
17400,A,0,MORTGAGE,160000,32
10000,A,0,RENT,31000,23
12000,A,6,RENT,54000,24
10000,C,,MORTGAGE,36000,24
5100,C,1,MORTGAGE,34000,24
10000,B,2,MORTGAGE,80000,30
16000,E,16,RENT,51000,23
5500,C,3,RENT,27996,23
4000,D,4,RENT,38400,22
10000,B,5,MORTGAGE,87000,24
6000,B,41,MORTGAGE,185000,26
20000,B,5,OWN,84000,24
12000,A,13,MORTGAGE,66000,22
4800,B,2,RENT,14400,35
13000,D,4,OWN,33800,23
3650,B,14,MORTGAGE,105000,22
19500,B,1,RENT,90000,24
16750,E,6,MORTGAGE,51000,25
11200,C,3,RENT,80000,34
6000,B,24,MORTGAGE,141000,43
20000,C,12,MORTGAGE,115000,28
7850,C,2,MORTGAGE,25500,23
6500,A,4,MORTGAGE,95000,25
5000,A,9,MORTGAGE,75000,23
3250,D,4,OWN,25920,24
20000,C,2,RENT,82654.6,22
13000,B,10,RENT,50000,33
5000,C,0,RENT,54996,50
10000,A,19,MORTGAGE,100000,24
9000,C,6,OWN,55000,36
2800,A,0,MORTGAGE,85000,25
4800,B,2,RENT,14400,35
10400,A,5,OWN,48000,24
7000,B,11,MORTGAGE,43200,23
12000,C,0,RENT,86004,26
5500,A,1,RENT,42312,30
24000,B,0,MORTGAGE,268000,41
10000,A,0,RENT,18000,24
20000,B,5,RENT,65004,23
8000,D,6,RENT,45000,28
10000,B,0,MORTGAGE,38000,42
15200,C,0,RENT,43000,42
13000,A,7,RENT,36000,24
6000,A,3,RENT,25200,27
4500,D,,RENT,50000,22
3000,C,0,MORTGAGE,99996,27
25000,C,24,MORTGAGE,59000,22
9000,A,9,RENT,112440,27
28000,D,40,MORTGAGE,105018,24
7500,B,5,RENT,65000,29
7500,E,7,RENT,48000,22
10000,B,15,RENT,60000,25
15000,A,12,MORTGAGE,95000,23
12000,A,13,OWN,80000,31
2500,C,5,RENT,70082.64,24
14000,A,13,RENT,148000,24
5000,A,1,RENT,60000,22
9000,B,7,RENT,35000,22
3000,B,3,RENT,34580,31
7500,A,10,MORTGAGE,105000,22
5000,B,23,RENT,28800,32
2400,B,1,RENT,26000,21
16000,A,0,RENT,75000,30
